"","GO.ID","Term","KS"
"525","GO:0010638","positive regulation of organelle organiz...","0.0043"
"526","GO:0007264","small GTPase mediated signal transductio...","0.0053"
"527","GO:0051640","organelle localization","0.0056"
"528","GO:0006605","protein targeting","0.0073"
"529","GO:0051493","regulation of cytoskeleton organization","0.0116"
"530","GO:0051130","positive regulation of cellular componen...","0.0123"
"531","GO:0051179","localization","0.028"
"532","GO:0009058","biosynthetic process","0.151"
"533","GO:0044249","cellular biosynthetic process","0.151"
"534","GO:1901576","organic substance biosynthetic process","0.151"
"535","GO:0006139","nucleobase-containing compound metabolic...","0.255"
"536","GO:0006725","cellular aromatic compound metabolic pro...","0.255"
"537","GO:0034641","cellular nitrogen compound metabolic pro...","0.255"
"538","GO:0046483","heterocycle metabolic process","0.255"
"539","GO:0050794","regulation of cellular process","0.258"
"540","GO:0050896","response to stimulus","0.268"
"541","GO:0010629","negative regulation of gene expression","0.00021"
"542","GO:0010605","negative regulation of macromolecule met...","0.00056"
"543","GO:0007179","transforming growth factor beta receptor...","0.00097"
"544","GO:0051254","positive regulation of RNA metabolic pro...","0.00130"
"545","GO:1902680","positive regulation of RNA biosynthetic ...","0.00168"
"546","GO:1903508","positive regulation of nucleic acid-temp...","0.00168"
"547","GO:0045893","positive regulation of transcription, DN...","0.00188"
"548","GO:0009892","negative regulation of metabolic process","0.00203"
"549","GO:0045944","positive regulation of transcription by ...","0.00234"
"550","GO:0010628","positive regulation of gene expression","0.00253"
"551","GO:0032501","multicellular organismal process","0.00076"
"552","GO:0007610","behavior","0.00381"
"553","GO:0007275","multicellular organism development","0.00442"
"554","GO:0006810","transport","0.00500"
"555","GO:0051234","establishment of localization","0.00500"
"556","GO:0099536","synaptic signaling","0.00536"
"557","GO:0032502","developmental process","0.00542"
"558","GO:0023061","signal release","0.00581"
"559","GO:0048856","anatomical structure development","0.00652"
"560","GO:0007399","nervous system development","0.00732"
"561","GO:1902680","positive regulation of RNA biosynthetic ...","4.4e-05"
"562","GO:1903508","positive regulation of nucleic acid-temp...","4.4e-05"
"563","GO:0045893","positive regulation of transcription, DN...","4.9e-05"
"564","GO:0051254","positive regulation of RNA metabolic pro...","6.2e-05"
"565","GO:0045944","positive regulation of transcription by ...","0.00011"
"566","GO:0010557","positive regulation of macromolecule bio...","0.00021"
"567","GO:0031328","positive regulation of cellular biosynth...","0.00026"
"568","GO:0009891","positive regulation of biosynthetic proc...","0.00026"
"569","GO:0045935","positive regulation of nucleobase-contai...","0.00040"
"570","GO:0007179","transforming growth factor beta receptor...","0.00041"
"571","GO:0003008","system process","0.0047"
"572","GO:1902531","regulation of intracellular signal trans...","0.0089"
"573","GO:0010647","positive regulation of cell communicatio...","0.0176"
"574","GO:0023056","positive regulation of signaling","0.0176"
"575","GO:0007610","behavior","0.0260"
"576","GO:0031399","regulation of protein modification proce...","0.0299"
"577","GO:0035556","intracellular signal transduction","0.0342"
"578","GO:0007267","cell-cell signaling","0.0361"
"579","GO:0042493","response to drug","0.0364"
"580","GO:0048518","positive regulation of biological proces...","0.0372"
"581","GO:0000003","reproduction","0.00018"
"582","GO:0022414","reproductive process","0.00018"
"583","GO:0007179","transforming growth factor beta receptor...","0.00022"
"584","GO:0010629","negative regulation of gene expression","0.00032"
"585","GO:0007276","gamete generation","0.00032"
"586","GO:0045944","positive regulation of transcription by ...","0.00039"
"587","GO:0051254","positive regulation of RNA metabolic pro...","0.00042"
"588","GO:1902680","positive regulation of RNA biosynthetic ...","0.00054"
"589","GO:1903508","positive regulation of nucleic acid-temp...","0.00054"
"590","GO:0045893","positive regulation of transcription, DN...","0.00073"
"591","GO:0051276","chromosome organization","0.019"
"592","GO:0006325","chromatin organization","0.020"
"593","GO:0002274","myeloid leukocyte activation","0.028"
"594","GO:0046903","secretion","0.032"
"595","GO:0140352","export from cell","0.032"
"596","GO:0007417","central nervous system development","0.039"
"597","GO:0007399","nervous system development","0.045"
"598","GO:0022008","neurogenesis","0.048"
"599","GO:0030182","neuron differentiation","0.048"
"600","GO:0048699","generation of neurons","0.048"
"601","GO:0034641","cellular nitrogen compound metabolic pro...","0.0031"
"602","GO:0009892","negative regulation of metabolic process","0.0037"
"603","GO:0010605","negative regulation of macromolecule met...","0.0037"
"604","GO:0031324","negative regulation of cellular metaboli...","0.0037"
"605","GO:0051172","negative regulation of nitrogen compound...","0.0037"
"606","GO:0016070","RNA metabolic process","0.0067"
"607","GO:0046483","heterocycle metabolic process","0.0080"
"608","GO:1901360","organic cyclic compound metabolic proces...","0.0080"
"609","GO:0090304","nucleic acid metabolic process","0.0130"
"610","GO:0010629","negative regulation of gene expression","0.0136"
"611","GO:0032268","regulation of cellular protein metabolic...","0.0097"
"612","GO:0051246","regulation of protein metabolic process","0.0097"
"613","GO:0045596","negative regulation of cell differentiat...","0.0187"
"614","GO:0071495","cellular response to endogenous stimulus","0.0193"
"615","GO:1901701","cellular response to oxygen-containing c...","0.0232"
"616","GO:0009719","response to endogenous stimulus","0.0250"
"617","GO:0031325","positive regulation of cellular metaboli...","0.0266"
"618","GO:0051173","positive regulation of nitrogen compound...","0.0266"
"619","GO:0060255","regulation of macromolecule metabolic pr...","0.0317"
"620","GO:0071310","cellular response to organic substance","0.0336"
"621","GO:0030030","cell projection organization","0.051"
"622","GO:0120036","plasma membrane bounded cell projection ...","0.051"
"623","GO:0015031","protein transport","0.067"
"624","GO:0015833","peptide transport","0.067"
"625","GO:0042886","amide transport","0.067"
"626","GO:0045184","establishment of protein localization","0.067"
"627","GO:0008283","cell population proliferation","0.068"
"628","GO:0050794","regulation of cellular process","0.087"
"629","GO:0051336","regulation of hydrolase activity","0.093"
"630","GO:0042127","regulation of cell population proliferat...","0.099"
"631","GO:0071704","organic substance metabolic process","0.0072"
"632","GO:0009057","macromolecule catabolic process","0.0089"
"633","GO:1901575","organic substance catabolic process","0.0105"
"634","GO:0044265","cellular macromolecule catabolic process","0.0155"
"635","GO:0006082","organic acid metabolic process","0.0158"
"636","GO:0019752","carboxylic acid metabolic process","0.0158"
"637","GO:0043436","oxoacid metabolic process","0.0158"
"638","GO:0009056","catabolic process","0.0172"
"639","GO:0044237","cellular metabolic process","0.0211"
"640","GO:0044238","primary metabolic process","0.0228"
"641","GO:0007156","homophilic cell adhesion via plasma memb...","1.0e-05"
"642","GO:0098742","cell-cell adhesion via plasma-membrane a...","5.5e-05"
"643","GO:0048638","regulation of developmental growth","0.0043"
"644","GO:0008286","insulin receptor signaling pathway","0.0047"
"645","GO:0048588","developmental cell growth","0.0053"
"646","GO:0050790","regulation of catalytic activity","0.0080"
"647","GO:1902679","negative regulation of RNA biosynthetic ...","0.0081"
"648","GO:0051336","regulation of hydrolase activity","0.0088"
"649","GO:0098609","cell-cell adhesion","0.0096"
"650","GO:0048589","developmental growth","0.0105"
"651","GO:1903311","regulation of mRNA metabolic process","0.00026"
"652","GO:0070925","organelle assembly","0.00037"
"653","GO:0010608","posttranscriptional regulation of gene e...","0.00068"
"654","GO:0007017","microtubule-based process","0.00087"
"655","GO:0006412","translation","0.00128"
"656","GO:0006997","nucleus organization","0.00130"
"657","GO:0048024","regulation of mRNA splicing, via spliceo...","0.00150"
"658","GO:0061326","renal tubule development","0.00166"
"659","GO:0072080","nephron tubule development","0.00166"
"660","GO:0000226","microtubule cytoskeleton organization","0.00174"
"661","GO:0034641","cellular nitrogen compound metabolic pro...","0.0014"
"662","GO:0009058","biosynthetic process","0.0020"
"663","GO:1901576","organic substance biosynthetic process","0.0020"
"664","GO:0006412","translation","0.0028"
"665","GO:0006417","regulation of translation","0.0028"
"666","GO:0043043","peptide biosynthetic process","0.0028"
"667","GO:0044249","cellular biosynthetic process","0.0029"
"668","GO:0010608","posttranscriptional regulation of gene e...","0.0041"
"669","GO:0016070","RNA metabolic process","0.0047"
"670","GO:0010467","gene expression","0.0052"
"671","GO:0031325","positive regulation of cellular metaboli...","0.0017"
"672","GO:0009893","positive regulation of metabolic process","0.0024"
"673","GO:0051173","positive regulation of nitrogen compound...","0.0037"
"674","GO:0048522","positive regulation of cellular process","0.0053"
"675","GO:0045944","positive regulation of transcription by ...","0.0064"
"676","GO:0010604","positive regulation of macromolecule met...","0.0065"
"677","GO:0048518","positive regulation of biological proces...","0.0120"
"678","GO:0045893","positive regulation of transcription, DN...","0.0135"
"679","GO:0010628","positive regulation of gene expression","0.0139"
"680","GO:1902680","positive regulation of RNA biosynthetic ...","0.0162"
"681","GO:0051716","cellular response to stimulus","0.0072"
"682","GO:0045893","positive regulation of transcription, DN...","0.0075"
"683","GO:0045935","positive regulation of nucleobase-contai...","0.0085"
"684","GO:0051254","positive regulation of RNA metabolic pro...","0.0098"
"685","GO:0045944","positive regulation of transcription by ...","0.0101"
"686","GO:0031323","regulation of cellular metabolic process","0.0102"
"687","GO:1902680","positive regulation of RNA biosynthetic ...","0.0104"
"688","GO:1903508","positive regulation of nucleic acid-temp...","0.0104"
"689","GO:0019222","regulation of metabolic process","0.0107"
"690","GO:0019219","regulation of nucleobase-containing comp...","0.0115"
"691","GO:0051252","regulation of RNA metabolic process","6.0e-05"
"692","GO:0019219","regulation of nucleobase-containing comp...","6.4e-05"
"693","GO:2000112","regulation of cellular macromolecule bio...","0.00020"
"694","GO:0010468","regulation of gene expression","0.00024"
"695","GO:0010556","regulation of macromolecule biosynthetic...","0.00033"
"696","GO:0009889","regulation of biosynthetic process","0.00037"
"697","GO:0050793","regulation of developmental process","0.00040"
"698","GO:0045935","positive regulation of nucleobase-contai...","0.00043"
"699","GO:0051254","positive regulation of RNA metabolic pro...","0.00044"
"700","GO:0031326","regulation of cellular biosynthetic proc...","0.00055"
"701","GO:1901564","organonitrogen compound metabolic proces...","0.0020"
"702","GO:0032270","positive regulation of cellular protein ...","0.0024"
"703","GO:0051247","positive regulation of protein metabolic...","0.0025"
"704","GO:0044267","cellular protein metabolic process","0.0031"
"705","GO:0019538","protein metabolic process","0.0045"
"706","GO:0051246","regulation of protein metabolic process","0.0089"
"707","GO:0006325","chromatin organization","0.0091"
"708","GO:0032268","regulation of cellular protein metabolic...","0.0099"
"709","GO:0051276","chromosome organization","0.0133"
"710","GO:0006464","cellular protein modification process","0.0135"
"711","GO:0010948","negative regulation of cell cycle proces...","0.0030"
"712","GO:0044772","mitotic cell cycle phase transition","0.0045"
"713","GO:0009719","response to endogenous stimulus","0.0052"
"714","GO:0045786","negative regulation of cell cycle","0.0072"
"715","GO:0051726","regulation of cell cycle","0.0101"
"716","GO:0044770","cell cycle phase transition","0.0146"
"717","GO:0010564","regulation of cell cycle process","0.0178"
"718","GO:0007050","cell cycle arrest","0.0181"
"719","GO:0007155","cell adhesion","0.0202"
"720","GO:0022610","biological adhesion","0.0202"
"721","GO:0007156","homophilic cell adhesion via plasma memb...","1.0e-11"
"722","GO:0098742","cell-cell adhesion via plasma-membrane a...","7.4e-11"
"723","GO:0098609","cell-cell adhesion","2.2e-07"
"724","GO:0007155","cell adhesion","1.5e-05"
"725","GO:0022610","biological adhesion","1.5e-05"
"726","GO:0010638","positive regulation of organelle organiz...","0.012"
"727","GO:0033365","protein localization to organelle","0.013"
"728","GO:0048856","anatomical structure development","0.014"
"729","GO:0048731","system development","0.020"
"730","GO:0032502","developmental process","0.021"
"731","GO:0010629","negative regulation of gene expression","3.5e-05"
"732","GO:0007179","transforming growth factor beta receptor...","0.00012"
"733","GO:0010558","negative regulation of macromolecule bio...","0.00038"
"734","GO:0045893","positive regulation of transcription, DN...","0.00038"
"735","GO:2000113","negative regulation of cellular macromol...","0.00045"
"736","GO:0045944","positive regulation of transcription by ...","0.00047"
"737","GO:1902680","positive regulation of RNA biosynthetic ...","0.00048"
"738","GO:1903508","positive regulation of nucleic acid-temp...","0.00048"
"739","GO:0051254","positive regulation of RNA metabolic pro...","0.00052"
"740","GO:0010605","negative regulation of macromolecule met...","0.00063"
"741","GO:0035295","tube development","0.00098"
"742","GO:0009653","anatomical structure morphogenesis","0.00160"
"743","GO:0048646","anatomical structure formation involved ...","0.00512"
"744","GO:0043412","macromolecule modification","0.00553"
"745","GO:0007389","pattern specification process","0.00563"
"746","GO:0071383","cellular response to steroid hormone sti...","0.00783"
"747","GO:0035239","tube morphogenesis","0.00783"
"748","GO:0030518","intracellular steroid hormone receptor s...","0.00908"
"749","GO:0006470","protein dephosphorylation","0.00941"
"750","GO:0044267","cellular protein metabolic process","0.00985"
"751","GO:0007169","transmembrane receptor protein tyrosine ...","0.00027"
"752","GO:0007167","enzyme linked receptor protein signaling...","0.00282"
"753","GO:0098742","cell-cell adhesion via plasma-membrane a...","0.00312"
"754","GO:0010256","endomembrane system organization","0.00509"
"755","GO:0046777","protein autophosphorylation","0.00585"
"756","GO:0010646","regulation of cell communication","0.00642"
"757","GO:0080135","regulation of cellular response to stres...","0.00768"
"758","GO:0010035","response to inorganic substance","0.00790"
"759","GO:0009636","response to toxic substance","0.00932"
"760","GO:0051222","positive regulation of protein transport","0.00934"
"761","GO:0035690","cellular response to drug","0.0075"
"762","GO:0065008","regulation of biological quality","0.0086"
"763","GO:0048511","rhythmic process","0.0106"
"764","GO:0051047","positive regulation of secretion","0.0159"
"765","GO:1903532","positive regulation of secretion by cell","0.0159"
"766","GO:0046903","secretion","0.0187"
"767","GO:0060070","canonical Wnt signaling pathway","0.0187"
"768","GO:0050808","synapse organization","0.0191"
"769","GO:0098742","cell-cell adhesion via plasma-membrane a...","0.0192"
"770","GO:0060828","regulation of canonical Wnt signaling pa...","0.0214"
"771","GO:0009653","anatomical structure morphogenesis","0.23"
"772","GO:0042592","homeostatic process","0.24"
"773","GO:0051247","positive regulation of protein metabolic...","0.24"
"774","GO:0065008","regulation of biological quality","0.26"
"775","GO:0071702","organic substance transport","0.32"
"776","GO:0006810","transport","0.35"
"777","GO:0051234","establishment of localization","0.35"
"778","GO:0051179","localization","0.36"
"779","GO:0009987","cellular process","0.37"
"780","GO:0044271","cellular nitrogen compound biosynthetic ...","0.41"
"781","GO:0048863","stem cell differentiation","0.0024"
"782","GO:0008380","RNA splicing","0.0161"
"783","GO:0071363","cellular response to growth factor stimu...","0.0174"
"784","GO:0048667","cell morphogenesis involved in neuron di...","0.0175"
"785","GO:0006396","RNA processing","0.0236"
"786","GO:0016071","mRNA metabolic process","0.0245"
"787","GO:0001649","osteoblast differentiation","0.0245"
"788","GO:0070848","response to growth factor","0.0260"
"789","GO:0030036","actin cytoskeleton organization","0.0332"
"790","GO:0000904","cell morphogenesis involved in different...","0.0335"
"791","GO:0097190","apoptotic signaling pathway","0.00017"
"792","GO:0008219","cell death","0.00078"
"793","GO:2001233","regulation of apoptotic signaling pathwa...","0.00083"
"794","GO:0006915","apoptotic process","0.00116"
"795","GO:0012501","programmed cell death","0.00116"
"796","GO:0042981","regulation of apoptotic process","0.00131"
"797","GO:0043067","regulation of programmed cell death","0.00131"
"798","GO:0010941","regulation of cell death","0.00152"
"799","GO:0019219","regulation of nucleobase-containing comp...","0.00182"
"800","GO:0044770","cell cycle phase transition","0.00225"
"801","GO:0032984","protein-containing complex disassembly","0.0057"
"802","GO:0006091","generation of precursor metabolites and ...","0.0072"
"803","GO:0034641","cellular nitrogen compound metabolic pro...","0.0109"
"804","GO:0007613","memory","0.0127"
"805","GO:0006163","purine nucleotide metabolic process","0.0169"
"806","GO:0009150","purine ribonucleotide metabolic process","0.0169"
"807","GO:0043624","cellular protein complex disassembly","0.0182"
"808","GO:0007173","epidermal growth factor receptor signali...","0.0195"
"809","GO:0016052","carbohydrate catabolic process","0.0195"
"810","GO:0045055","regulated exocytosis","0.0197"
"811","GO:0055114","oxidation-reduction process","0.0028"
"812","GO:0006163","purine nucleotide metabolic process","0.0068"
"813","GO:0009150","purine ribonucleotide metabolic process","0.0068"
"814","GO:0009259","ribonucleotide metabolic process","0.0080"
"815","GO:0019693","ribose phosphate metabolic process","0.0080"
"816","GO:0006091","generation of precursor metabolites and ...","0.0116"
"817","GO:0038127","ERBB signaling pathway","0.0118"
"818","GO:0007411","axon guidance","0.0171"
"819","GO:0097485","neuron projection guidance","0.0171"
"820","GO:0006486","protein glycosylation","0.0182"
"821","GO:0022402","cell cycle process","0.019"
"822","GO:0000209","protein polyubiquitination","0.025"
"823","GO:0045786","negative regulation of cell cycle","0.035"
"824","GO:0070647","protein modification by small protein co...","0.053"
"825","GO:0016579","protein deubiquitination","0.059"
"826","GO:0070646","protein modification by small protein re...","0.059"
"827","GO:0051347","positive regulation of transferase activ...","0.069"
"828","GO:0051603","proteolysis involved in cellular protein...","0.070"
"829","GO:0032446","protein modification by small protein co...","0.073"
"830","GO:0044257","cellular protein catabolic process","0.082"
"831","GO:1903311","regulation of mRNA metabolic process","0.0029"
"832","GO:0042180","cellular ketone metabolic process","0.0043"
"833","GO:0032984","protein-containing complex disassembly","0.0049"
"834","GO:0051493","regulation of cytoskeleton organization","0.0114"
"835","GO:0080090","regulation of primary metabolic process","0.0117"
"836","GO:0072089","stem cell proliferation","0.0118"
"837","GO:0031323","regulation of cellular metabolic process","0.0143"
"838","GO:0031325","positive regulation of cellular metaboli...","0.0255"
"839","GO:0006913","nucleocytoplasmic transport","0.0265"
"840","GO:0051169","nuclear transport","0.0265"
"841","GO:0045944","positive regulation of transcription by ...","0.00064"
"842","GO:0045893","positive regulation of transcription, DN...","0.00066"
"843","GO:1902680","positive regulation of RNA biosynthetic ...","0.00066"
"844","GO:1903508","positive regulation of nucleic acid-temp...","0.00066"
"845","GO:0051254","positive regulation of RNA metabolic pro...","0.00067"
"846","GO:0009887","animal organ morphogenesis","0.00172"
"847","GO:0035295","tube development","0.00185"
"848","GO:0045935","positive regulation of nucleobase-contai...","0.00246"
"849","GO:0035239","tube morphogenesis","0.00358"
"850","GO:0048514","blood vessel morphogenesis","0.00621"
"851","GO:0000904","cell morphogenesis involved in different...","0.0011"
"852","GO:0050790","regulation of catalytic activity","0.0011"
"853","GO:0045859","regulation of protein kinase activity","0.0014"
"854","GO:0010646","regulation of cell communication","0.0023"
"855","GO:0065009","regulation of molecular function","0.0029"
"856","GO:0023051","regulation of signaling","0.0031"
"857","GO:0000902","cell morphogenesis","0.0037"
"858","GO:0071900","regulation of protein serine/threonine k...","0.0043"
"859","GO:0043549","regulation of kinase activity","0.0051"
"860","GO:0048584","positive regulation of response to stimu...","0.0065"
"861","GO:0046907","intracellular transport","0.0017"
"862","GO:0051649","establishment of localization in cell","0.0020"
"863","GO:0071705","nitrogen compound transport","0.0034"
"864","GO:0051641","cellular localization","0.0036"
"865","GO:0042886","amide transport","0.0044"
"866","GO:0034613","cellular protein localization","0.0045"
"867","GO:0070727","cellular macromolecule localization","0.0045"
"868","GO:0035239","tube morphogenesis","0.0054"
"869","GO:0035295","tube development","0.0055"
"870","GO:0045184","establishment of protein localization","0.0060"
"871","GO:0030099","myeloid cell differentiation","0.00095"
"872","GO:0071704","organic substance metabolic process","0.00105"
"873","GO:0051173","positive regulation of nitrogen compound...","0.00111"
"874","GO:0048869","cellular developmental process","0.00131"
"875","GO:0030154","cell differentiation","0.00170"
"876","GO:0006807","nitrogen compound metabolic process","0.00217"
"877","GO:0008152","metabolic process","0.00241"
"878","GO:0010604","positive regulation of macromolecule met...","0.00313"
"879","GO:0043170","macromolecule metabolic process","0.00358"
"880","GO:0031325","positive regulation of cellular metaboli...","0.00396"
"881","GO:0009991","response to extracellular stimulus","0.0022"
"882","GO:0031667","response to nutrient levels","0.0038"
"883","GO:0006974","cellular response to DNA damage stimulus","0.0039"
"884","GO:0033554","cellular response to stress","0.0103"
"885","GO:0010564","regulation of cell cycle process","0.0118"
"886","GO:0044770","cell cycle phase transition","0.0118"
"887","GO:1901987","regulation of cell cycle phase transitio...","0.0132"
"888","GO:0010948","negative regulation of cell cycle proces...","0.0144"
"889","GO:0051656","establishment of organelle localization","0.0232"
"890","GO:0044772","mitotic cell cycle phase transition","0.0248"
"891","GO:0006996","organelle organization","0.0051"
"892","GO:0009894","regulation of catabolic process","0.0079"
"893","GO:0031329","regulation of cellular catabolic process","0.0089"
"894","GO:0009896","positive regulation of catabolic process","0.0093"
"895","GO:0048468","cell development","0.0101"
"896","GO:0048869","cellular developmental process","0.0110"
"897","GO:0030099","myeloid cell differentiation","0.0110"
"898","GO:0030154","cell differentiation","0.0131"
"899","GO:0042176","regulation of protein catabolic process","0.0137"
"900","GO:0046907","intracellular transport","0.0148"
"901","GO:0034599","cellular response to oxidative stress","0.00084"
"902","GO:0051704","multi-organism process","0.00398"
"903","GO:0030217","T cell differentiation","0.00645"
"904","GO:0044703","multi-organism reproductive process","0.00894"
"905","GO:0062197","cellular response to chemical stress","0.00989"
"906","GO:0030097","hemopoiesis","0.01139"
"907","GO:0050678","regulation of epithelial cell proliferat...","0.01245"
"908","GO:0003012","muscle system process","0.01304"
"909","GO:0006935","chemotaxis","0.01595"
"910","GO:0042330","taxis","0.01595"
"911","GO:0043087","regulation of GTPase activity","0.042"
"912","GO:0043043","peptide biosynthetic process","0.095"
"913","GO:0060548","negative regulation of cell death","0.098"
"914","GO:0043085","positive regulation of catalytic activit...","0.100"
"915","GO:0016567","protein ubiquitination","0.101"
"916","GO:0008544","epidermis development","0.124"
"917","GO:0009888","tissue development","0.133"
"918","GO:0006807","nitrogen compound metabolic process","0.134"
"919","GO:0050790","regulation of catalytic activity","0.146"
"920","GO:0048608","reproductive structure development","0.155"
"921","GO:0006402","mRNA catabolic process","0.00079"
"922","GO:0048519","negative regulation of biological proces...","0.00081"
"923","GO:0010629","negative regulation of gene expression","0.00204"
"924","GO:0006401","RNA catabolic process","0.00217"
"925","GO:0019439","aromatic compound catabolic process","0.00471"
"926","GO:0034655","nucleobase-containing compound catabolic...","0.00471"
"927","GO:0044270","cellular nitrogen compound catabolic pro...","0.00471"
"928","GO:0046700","heterocycle catabolic process","0.00471"
"929","GO:1901361","organic cyclic compound catabolic proces...","0.00471"
"930","GO:0061013","regulation of mRNA catabolic process","0.00534"
"931","GO:0043549","regulation of kinase activity","0.027"
"932","GO:0045859","regulation of protein kinase activity","0.027"
"933","GO:0051338","regulation of transferase activity","0.027"
"934","GO:0050790","regulation of catalytic activity","0.037"
"935","GO:0043085","positive regulation of catalytic activit...","0.045"
"936","GO:0032101","regulation of response to external stimu...","0.053"
"937","GO:0016477","cell migration","0.057"
"938","GO:0048870","cell motility","0.057"
"939","GO:0051674","localization of cell","0.057"
"940","GO:0006928","movement of cell or subcellular componen...","0.061"
"941","GO:0006900","vesicle budding from membrane","0.00095"
"942","GO:0033044","regulation of chromosome organization","0.00218"
"943","GO:2001252","positive regulation of chromosome organi...","0.00347"
"944","GO:0048193","Golgi vesicle transport","0.00349"
"945","GO:0043170","macromolecule metabolic process","0.00427"
"946","GO:0019222","regulation of metabolic process","0.00448"
"947","GO:0006807","nitrogen compound metabolic process","0.00566"
"948","GO:0048194","Golgi vesicle budding","0.00616"
"949","GO:0060255","regulation of macromolecule metabolic pr...","0.00676"
"950","GO:0034645","cellular macromolecule biosynthetic proc...","0.00818"
"951","GO:0034097","response to cytokine","0.013"
"952","GO:0071345","cellular response to cytokine stimulus","0.019"
"953","GO:0050896","response to stimulus","0.028"
"954","GO:0000278","mitotic cell cycle","0.076"
"955","GO:0030855","epithelial cell differentiation","0.079"
"956","GO:0007154","cell communication","0.099"
"957","GO:0023052","signaling","0.099"
"958","GO:0022603","regulation of anatomical structure morph...","0.108"
"959","GO:0065008","regulation of biological quality","0.117"
"960","GO:0040007","growth","0.134"
"961","GO:0006900","vesicle budding from membrane","0.00046"
"962","GO:0048194","Golgi vesicle budding","0.00080"
"963","GO:0051650","establishment of vesicle localization","0.00192"
"964","GO:0043170","macromolecule metabolic process","0.00584"
"965","GO:0044772","mitotic cell cycle phase transition","0.00606"
"966","GO:0051648","vesicle localization","0.00729"
"967","GO:0006807","nitrogen compound metabolic process","0.00878"
"968","GO:0033044","regulation of chromosome organization","0.00902"
"969","GO:0044770","cell cycle phase transition","0.00976"
"970","GO:0048193","Golgi vesicle transport","0.00998"
"971","GO:0008637","apoptotic mitochondrial changes","0.0049"
"972","GO:0010256","endomembrane system organization","0.0053"
"973","GO:0061024","membrane organization","0.0072"
"974","GO:0001666","response to hypoxia","0.0075"
"975","GO:0036293","response to decreased oxygen levels","0.0075"
"976","GO:0006366","transcription by RNA polymerase II","0.0138"
"977","GO:0016197","endosomal transport","0.0184"
"978","GO:0006357","regulation of transcription by RNA polym...","0.0197"
"979","GO:0006839","mitochondrial transport","0.0205"
"980","GO:0050796","regulation of insulin secretion","0.0213"
"981","GO:0001775","cell activation","0.0021"
"982","GO:0045321","leukocyte activation","0.0023"
"983","GO:0006950","response to stress","0.0065"
"984","GO:0002376","immune system process","0.0349"
"985","GO:0002682","regulation of immune system process","0.0505"
"986","GO:0008219","cell death","0.0535"
"987","GO:0012501","programmed cell death","0.0535"
"988","GO:0044093","positive regulation of molecular functio...","0.0648"
"989","GO:0051716","cellular response to stimulus","0.0723"
"990","GO:0043933","protein-containing complex subunit organ...","0.0825"
"991","GO:0097237","cellular response to toxic substance","0.00076"
"992","GO:0007565","female pregnancy","0.00115"
"993","GO:0009889","regulation of biosynthetic process","0.00323"
"994","GO:0031326","regulation of cellular biosynthetic proc...","0.00327"
"995","GO:0035690","cellular response to drug","0.00335"
"996","GO:0031589","cell-substrate adhesion","0.00546"
"997","GO:0042594","response to starvation","0.00622"
"998","GO:0071236","cellular response to antibiotic","0.00635"
"999","GO:0010556","regulation of macromolecule biosynthetic...","0.00730"
"1000","GO:0006631","fatty acid metabolic process","0.00784"
"1001","GO:0035239","tube morphogenesis","0.00036"
"1002","GO:2000026","regulation of multicellular organismal d...","0.00048"
"1003","GO:0022603","regulation of anatomical structure morph...","0.00067"
"1004","GO:0048514","blood vessel morphogenesis","0.00088"
"1005","GO:0048583","regulation of response to stimulus","0.00101"
"1006","GO:0050793","regulation of developmental process","0.00104"
"1007","GO:0001568","blood vessel development","0.00165"
"1008","GO:0035295","tube development","0.00225"
"1009","GO:0045595","regulation of cell differentiation","0.00292"
"1010","GO:0050678","regulation of epithelial cell proliferat...","0.00302"
"1011","GO:0097237","cellular response to toxic substance","0.0006"
"1012","GO:0071236","cellular response to antibiotic","0.0015"
"1013","GO:0051186","cofactor metabolic process","0.0053"
"1014","GO:0043405","regulation of MAP kinase activity","0.0057"
"1015","GO:0042594","response to starvation","0.0104"
"1016","GO:0030336","negative regulation of cell migration","0.0106"
"1017","GO:2000146","negative regulation of cell motility","0.0106"
"1018","GO:0016042","lipid catabolic process","0.0112"
"1019","GO:0006631","fatty acid metabolic process","0.0128"
"1020","GO:0097191","extrinsic apoptotic signaling pathway","0.0128"
"1021","GO:0071704","organic substance metabolic process","3.5e-05"
"1022","GO:0006807","nitrogen compound metabolic process","6.3e-05"
"1023","GO:0043170","macromolecule metabolic process","0.00013"
"1024","GO:0044238","primary metabolic process","0.00014"
"1025","GO:0043401","steroid hormone mediated signaling pathw...","0.00019"
"1026","GO:1901564","organonitrogen compound metabolic proces...","0.00024"
"1027","GO:0044237","cellular metabolic process","0.00033"
"1028","GO:0008152","metabolic process","0.00035"
"1029","GO:0044260","cellular macromolecule metabolic process","0.00047"
"1030","GO:0009755","hormone-mediated signaling pathway","0.00055"
"1031","GO:0051345","positive regulation of hydrolase activit...","0.0057"
"1032","GO:0051336","regulation of hydrolase activity","0.0243"
"1033","GO:0051247","positive regulation of protein metabolic...","0.0309"
"1034","GO:0009628","response to abiotic stimulus","0.0347"
"1035","GO:0044419","interspecies interaction between organis...","0.0378"
"1036","GO:0048523","negative regulation of cellular process","0.0455"
"1037","GO:0030162","regulation of proteolysis","0.0457"
"1038","GO:0032270","positive regulation of cellular protein ...","0.0479"
"1039","GO:0009607","response to biotic stimulus","0.0629"
"1040","GO:0043207","response to external biotic stimulus","0.0629"
